loss,mse,run_type,fold_number,model_name,task
0.052499108016490936,0.052499108016490936,train,0,FFNN_regression_model,Enhancers
0.058768097311258316,0.058768097311258316,validation,0,FFNN_regression_model,Enhancers
0.05894804000854492,0.05894804000854492,test,0,FFNN_regression_model,Enhancers
0.13819967210292816,0.13819967210292816,train,0,CNN_regression_model,Enhancers
0.12859706580638885,0.12859706580638885,validation,0,CNN_regression_model,Enhancers
0.1368257701396942,0.1368257701396942,test,0,CNN_regression_model,Enhancers
0.048687636852264404,0.048687636852264404,train,0,MMNN_boosted_regression_model,Enhancers
0.059091780334711075,0.059091780334711075,validation,0,MMNN_boosted_regression_model,Enhancers
0.058198343962430954,0.058198343962430954,test,0,MMNN_boosted_regression_model,Enhancers
0.04274105653166771,0.04274105653166771,train,1,FFNN_regression_model,Enhancers
0.05715953931212425,0.05715953931212425,validation,1,FFNN_regression_model,Enhancers
0.054465580731630325,0.054465580731630325,test,1,FFNN_regression_model,Enhancers
0.13290615379810333,0.13290615379810333,train,1,CNN_regression_model,Enhancers
0.1404937505722046,0.1404937505722046,validation,1,CNN_regression_model,Enhancers
0.13947603106498718,0.13947603106498718,test,1,CNN_regression_model,Enhancers
0.04096139594912529,0.04096139594912529,train,1,MMNN_boosted_regression_model,Enhancers
0.059692129492759705,0.059692129492759705,validation,1,MMNN_boosted_regression_model,Enhancers
0.05595569312572479,0.05595569312572479,test,1,MMNN_boosted_regression_model,Enhancers
0.04913255199790001,0.04913255199790001,train,2,FFNN_regression_model,Enhancers
0.051437389105558395,0.051437389105558395,validation,2,FFNN_regression_model,Enhancers
0.04638197645545006,0.04638197645545006,test,2,FFNN_regression_model,Enhancers
0.13953979313373566,0.13953979313373566,train,2,CNN_regression_model,Enhancers
0.11960950493812561,0.11960950493812561,validation,2,CNN_regression_model,Enhancers
0.13222172856330872,0.13222172856330872,test,2,CNN_regression_model,Enhancers
0.043311942368745804,0.043311942368745804,train,2,MMNN_boosted_regression_model,Enhancers
0.05226903408765793,0.05226903408765793,validation,2,MMNN_boosted_regression_model,Enhancers
0.04611706733703613,0.04611706733703613,test,2,MMNN_boosted_regression_model,Enhancers
